Student_ID,Age,Country,Avg_Daily_Usage_Hours,Sleep_Hours_Per_Night,Conflicts_Over_Social_Media,Academic_Level_Graduate,Academic_Level_High_School,Academic_Level_Undergraduate,Most_Used_Platform_Facebook,Most_Used_Platform_Instagram,Most_Used_Platform_KakaoTalk,Most_Used_Platform_LINE,Most_Used_Platform_LinkedIn,Most_Used_Platform_Snapchat,Most_Used_Platform_TikTok,Most_Used_Platform_Twitter,Most_Used_Platform_VKontakte,Most_Used_Platform_WeChat,Most_Used_Platform_WhatsApp,Most_Used_Platform_YouTube,Relationship_Status_Complicated,Relationship_Status_In_Relationship,Relationship_Status_Single,Gender_Female,Gender_Male,Mental_Health_Score,Addicted_Score,Affects_Academic_Performance
1,19,Bangladesh,5.2,6.5,3,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,6,6,False
2,22,India,2.1,7.5,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,7,3,False
3,20,USA,6.0,5.0,4,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,3,7,True
4,18,UK,3.0,7.0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,7,3,False
5,21,Canada,4.5,6.0,2,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,7,6,False
6,19,Australia,7.2,4.5,5,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,2,10,True
7,23,Germany,1.5,8.0,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,9,2,False
8,20,Brazil,5.8,6.0,2,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,7,6,False
9,18,Japan,4.0,6.5,1,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,7,6,False
10,21,South Korea,3.3,7.0,1,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,7,3,False
11,19,France,4.8,6.2,3,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,6,6,False
12,20,Spain,5.5,5.8,2,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,4,6,False
13,22,Italy,2.8,7.2,1,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,7,3,False
14,18,Mexico,6.5,5.5,4,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,2,7,True
15,21,Russia,3.7,6.8,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,7,3,False
16,20,China,4.2,6.0,3,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,6,6,False
17,24,Sweden,2.0,7.8,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,7,2,False
18,19,Norway,5.0,5.7,3,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,3,6,True
19,21,Denmark,3.5,6.7,1,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,7,3,False
20,20,Netherlands,4.7,5.9,3,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,3,6,True
21,18,Belgium,5.3,5.5,4,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,3,7,True
22,23,Switzerland,2.5,7.3,1,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,7,3,False
23,19,Austria,4.9,5.8,3,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,3,6,True
24,20,Portugal,5.7,5.4,4,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,3,7,True
25,22,Greece,3.2,6.9,2,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,7,3,False
26,19,Ireland,6.1,5.2,4,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,2,7,True
27,21,New Zealand,3.8,6.6,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,7,3,False
28,20,Singapore,4.4,5.9,3,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,3,6,True
29,24,Malaysia,2.2,7.4,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,7,3,False
30,19,Thailand,5.9,5.3,4,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,3,7,True
31,21,Vietnam,3.6,6.7,1,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,7,3,False
32,20,Philippines,4.8,5.7,3,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,3,6,True
33,18,Indonesia,5.4,5.4,4,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,3,7,True
34,23,Taiwan,2.6,7.2,1,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,7,3,False
35,19,Hong Kong,4.7,5.8,3,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,3,6,True
36,20,Turkey,5.6,5.5,4,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,3,7,True
37,22,Israel,3.1,6.8,1,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,7,3,False
38,19,UAE,6.2,5.1,4,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,2,7,True
39,21,Egypt,3.9,6.5,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,7,3,False
40,20,Morocco,4.5,5.8,3,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,3,6,True
41,24,South Africa,2.3,7.3,1,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,7,3,False
42,19,Nigeria,5.8,5.4,4,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,3,7,True
43,21,Kenya,3.7,6.6,2,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,7,3,False
44,20,Ghana,4.6,5.7,3,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,3,6,True
